date,ticker,name,open,high,low,close,volume,amount
2026-07-13,091160,KODEX 반도체,143945,148040,130030,130340,2233293,304912000000.0
2026-07-13,062040,산일전기,191200,193000,166100,169800,274401,48158000000.0
2026-07-13,381180,TIGER 미국필라델피아반도체나스닥,50560,50890,49055,49120,2751344,137304000000.0
2026-07-13,005387,현대차2우B,204000,209000,198500,200000,161174,32569000000.0
2026-07-13,353200,대덕전자,121200,129400,112500,113800,1752312,213391000000.0
2026-07-13,064400,LG씨엔에스,71400,74500,67700,68200,1367343,96691000000.0
2026-07-13,161390,한국타이어앤테크놀로지,71400,72000,68100,69700,368361,25667000000.0
2026-07-13,047040,대우건설,17370,18280,15860,16010,4288378,72351000000.0
2026-07-13,488770,KODEX 머니마켓액티브,104905,104910,104905,104905,1036008,108684000000.0
2026-07-13,180640,한진칼,140100,140200,128100,131600,269644,36130000000.0
2026-07-13,0167A0,SOL AI반도체TOP2플러스,20920,21150,18400,18450,24652865,480061000000.0
2026-07-13,352820,하이브,221000,228000,211000,213000,177857,38687000000.0
2026-07-13,007660,이수페타시스,103000,108000,99600,99600,1210085,125713000000.0
2026-07-13,122630,KODEX 레버리지,148880,153330,120090,121900,19293360,2542634000000.0
2026-07-13,005830,DB손해보험,157200,163900,157200,159100,335502,53881000000.0
2026-07-13,039490,키움증권,338500,357500,318500,323500,96607,32505000000.0
2026-07-13,379810,KODEX 미국나스닥100,29515,29705,29350,29370,13190796,389216000000.0
2026-07-13,278530,KODEX 200TR,43335,43825,39100,39295,2375130,96732000000.0
2026-07-13,379800,KODEX 미국S&P500,25625,25770,25600,25680,22979924,590717000000.0
2026-07-13,006260,LS,335000,337750,298000,303500,144927,45222000000.0
2026-07-13,133690,TIGER 미국나스닥100,197110,198312,195945,196095,2299203,452779000000.0
2026-07-13,102110,TIGER 200,119680,121400,108150,108805,5312370,600051000000.0
2026-07-13,396500,TIGER 반도체TOP10,41360,41840,36575,36575,11229592,431752000000.0
2026-07-13,326030,SK바이오팜,82400,84300,78600,79300,120177,9677000000.0
2026-07-13,003670,포스코퓨처엠,151900,159700,149100,150700,342798,52549000000.0
2026-07-13,459580,KODEX CD금리액티브(합성),1074515,1074515,1074510,1074515,700129,752297000000.0
2026-07-13,360750,TIGER 미국S&P500,28100,28265,28080,28235,45866344,1293045000000.0
2026-07-13,000880,한화,94900,99500,90800,92300,218205,20509000000.0
2026-07-13,069500,KODEX 200,119630,121305,108100,108820,26704296,3003130000000.0
2026-07-13,004170,신세계,635000,644000,577000,591000,60563,36364000000.0
2026-07-13,047050,포스코인터내셔널,50300,53000,49900,50600,471816,24299000000.0
2026-07-13,003230,삼양식품,1139000,1159000,1100000,1110000,36977,41709000000.0
2026-07-13,028050,삼성E&A,43900,44750,40800,41100,1710152,72500000000.0
2026-07-13,016360,삼성증권,112500,118800,107800,108800,452332,51090000000.0
2026-07-13,323410,카카오뱅크,23100,23700,22800,23300,1402760,32599000000.0
2026-07-13,443060,HD현대마린솔루션,199100,202500,187600,193600,150887,29261000000.0
2026-07-13,259960,크래프톤,240000,241000,232500,238000,98591,23361000000.0
2026-07-13,005940,NH투자증권,31800,33300,30950,31150,1155645,36917000000.0
2026-07-13,003490,대한항공,26500,26850,25650,25850,3198876,83298000000.0
2026-07-13,010950,S-Oil,136800,146500,136000,139500,808578,114278000000.0
2026-07-13,010130,고려아연,1063000,1085000,1010000,1025000,14034,14622000000.0
2026-07-13,0126Z0,삼성에피스홀딩스,388500,400000,371500,378000,46597,17865000000.0
2026-07-13,011070,LG이노텍,739000,752000,647000,661000,479902,326701000000.0
2026-07-13,071050,한국금융지주,242000,256000,230500,237000,243922,59190000000.0
2026-07-13,015760,한국전력,36200,36450,34100,34250,1778803,62463000000.0
2026-07-13,000720,현대건설,105600,109200,99500,101500,436521,45079000000.0
2026-07-13,006800,미래에셋증권,41850,43600,39300,40000,2022242,82655000000.0
2026-07-13,030200,KT,54100,54600,51900,52700,323029,17110000000.0
2026-07-13,000150,두산,1408000,1428000,1220000,1238000,100547,130000000000.0
2026-07-13,086280,현대글로비스,191700,198400,185200,187800,219900,41928000000.0
2026-07-13,042700,한미반도체,222000,233000,205000,205500,634267,136714000000.0
2026-07-13,307950,현대오토에버,452000,485500,433000,438000,87856,40227000000.0
2026-07-13,009540,HD한국조선해양,343500,351500,336500,341500,212904,73121000000.0
2026-07-13,278470,에이피알,381000,402500,376000,380000,236838,91899000000.0
2026-07-13,005490,POSCO홀딩스,313500,324000,306500,308000,337638,106121000000.0
2026-07-13,272210,한화시스템,71800,73100,65600,66500,628321,43129000000.0
2026-07-13,000810,삼성화재,649000,662000,629000,639000,96948,62241000000.0
2026-07-13,047810,한국항공우주,145500,153900,142100,143500,426323,62814000000.0
2026-07-13,042660,한화오션,83000,85500,78100,78800,1940961,157410000000.0
2026-07-13,051910,LG화학,268000,279500,259500,260500,231652,62103000000.0
2026-07-13,035420,NAVER,191100,195400,186400,188000,757031,143921000000.0
2026-07-13,018880,한온시스템,3610,3705,3420,3440,5931455,20962000000.0
2026-07-13,086790,하나금융지주,130100,137700,130000,132600,1329883,177547000000.0
2026-07-13,005385,현대차우,204000,208500,197000,199800,127093,25676000000.0
2026-07-13,298040,효성중공업,2971000,2971000,2610000,2666000,39106,106771000000.0
2026-07-13,003550,LG,102300,107200,98400,99300,449556,45411000000.0
2026-07-13,066570,LG전자,185500,208500,183800,185600,2664002,515006000000.0
2026-07-13,018260,삼성에스디에스,199700,203000,189100,190200,271934,52824000000.0
2026-07-13,267260,HD현대일렉트릭,851000,855000,779000,788000,172717,138664000000.0
2026-07-13,035720,카카오,35400,36100,34450,34750,1671408,58778000000.0
2026-07-13,010120,LS ELECTRIC,207500,209500,179900,184500,1015219,193832000000.0
2026-07-13,267250,HD현대,204500,209000,195000,198000,126643,25304000000.0
2026-07-13,006400,삼성SDI,443000,481500,432000,440000,849490,388339000000.0
2026-07-13,079550,LIG디펜스앤에어로스페이스,764000,804000,712000,725000,152324,114282000000.0
2026-07-13,068270,셀트리온,175300,180800,173900,175100,646548,114583000000.0
